Madden NFL 2000;EA Sports;Aug-99
Madden NFL 2001;EA Sports;Sep-00
Madden NFL 2002;EA Sports;Sep-01
Madden NFL '99;EA Sports;Sep-98
Magical Tetris Challenge featuring Mickey;Capcom;Jan-99
Major League Baseball Featuring Ken Griffey Jr.;Nintendo;May-98
Mario Golf;Nintendo;Jul-99
Mario Kart 64;Nintendo;Feb-97
Mario Party;Nintendo;Feb-99
Mario Party 2;Nintendo;Jan-00
Mario Party 3;Nintendo;May-01
Mario Tennis 64;Nintendo;Aug-00
Mia Hamm Soccer 64;South Peak Interactive;Nov-00
Mega Man 64;Capcom;Feb-01
Midway's Greatest Arcade Hits Volume 1;Midway;Nov-00
Mickey's Speedway USA;Nintendo;Nov-00
Micro Machines 64 Turbo;Midway;Mar-99
Mike Piazza's StrikeZone;GT Interactive;Jun-98
Milo's Astro Lanes;Crave Entertainment ;Nov-98
Mischief Makers;Nintendo;Sep-97
Mission Impossible;Ocean ;Jul-98
MLBPA Bottom of the 9th ;Konami;Apr-99
Monaco Grand Prix;Ubi Soft;Sep-99
Monopoly;Hasbro Interactive;Dec-99
Monster Truck Madness;Take 2 Interactive;Jul-99
Mortal Kombat IV;Midway;Jun-98
Mortal Kombat Mythologies: The Adventures of Sub-Zero;Midway;Dec-97
Mortal Kombat Trilogy;Midway;Nov-96
Ms Pac Man: Maze Madness;Namco;Nov-00
Multi Racing Championship (MRC);Ocean;Aug-97
Mystical Ninja Starring Goemon;Konami;Apr-98
Nagano Winter Olympics '98;Konami;Jan-98
Namco Museum 64;Namco;Nov-99
NASCAR 2000;EA Sports;Sep-99
Nascar '99;EA Sports;Sep-98
NBA Hang Time;Midway;Jan-97
NBA In The Zone 2000;Konami;Feb-00
NBA In The Zone 98;Konami;Feb-98
NBA In the Zone 99;Konami;Apr-99
NBA Jam 2000;Acclaim;Nov-99
NBA Jam '99;Acclaim;Dec-98
NBA Live 2000;EA Sports;Nov-99
NBA Live 99;EA Sports;Nov-98
NBA Showtime;Midway;Nov-99
NFL Blitz;Midway;Sep-98
NFL Blitz 2000;Midway;Aug-99
NFL Blitz 2001;Midway;Sep-00
NFL Quarterback Club 2001;Acclain;Aug-00
NFL Quarterback Club 2000;Acclaim;Sep-99
NFL Quarterback Club 98;Acclaim;Oct-97
NFL Quarterback Club '99;Acclaim;Nov-98
NHL '99;EA Sports;Oct-98
NHL Blades of Steel 99;Konami;Mar-99
NHL Breakaway 98;Acclaim ;Feb-98
NHL Breakaway '99;Acclaim;Dec-98
"NHLPA and NHL Present Wayne Gretzky's 3-D Hockey '98, The";Midway;Dec-97
Nightmare Creatures;Activision;Nov-98
Nuclear Strike;THQ;Dec-99
Offroad Challenge;Midway;Jun-98
Ogre Battle 64: Person of Lordly Caliber;Atlus Software;Oct-00
Olympic Hockey Nagano ' 98;Midway;Feb-98
Paperboy 64 ;Mindscape;Oct-99
Paper Mario;Nintendo;Feb-01
Penny Racers;THQ;Feb-99
Perfect Dark;Nintendo;May-00
PilotWings 64;Nintendo;Sep-96
Pokemon Puzzle League;Nintendo;Sep-00
Pokemon Snap;Nintendo;Jul-99
Pokemon Stadium ;Nintendo;Mar-00
Pokemon Stadium 2;Nintendo;Mar-01
Polaris Snocross;Vatical Entertainment;Dec-00
Powerpuff Girls: Chemical X Traction;Bay Area Mutimedia;Nov-01
Power Rangers Lightspeed Rescue;THQ;Oct-00
Quake 64;Midway;Mar-98
Quake II;Activision;Jun-99
Quest 64;THQ;Jun-98
Rainbow Six;Red Storm;Nov-99
Rally Challenge 2000;South Peak Interactive;Jun-00
Rampage 2: Universal Tour;Midway;Mar-99
Rampage World Tour;Midway;Mar-98
Rat Attack;Mindscape;Mar-00
Rayman 2;Ubi Soft;Nov-99
Ready 2 Rumble;Midway;Nov-99
Ready 2 Rumble 2;Midway;Nov-00
Resident Evil 2;Capcom;Nov-99
Re-Volt;Acclaim;Aug-99
Ridge Racer 64;Nintendo;Feb-00
Road Rash;EA Sports;Sep-99
Roadsters ;Titus;Dec-99
Robotron 64;Crave Entertainment ;Jan-98
Rocket: Robot on Wheels;Ubi Soft;Nov-99
Rugrats: Scavenger Hunt;THQ;Jun-99
Rugrats in Paris: The Movie;THQ;Nov-00
Rush 2049;Midway;Sep-00
Rush 2: Extreme Racing;Midway;Nov-98
San Francisco Rush: Extreme Racing ;Midway;Nov-97
SCARS;Ubi Soft;Dec-98
Scooby Doo: Classic Creep Capers;THQ;Dec-00
Shadow Man;Acclaim ;Aug-99
Shadowgate 64: Trial of the Four Towers;Kemco;Jun-99
Snowboard Kids;Atlus Software;Feb-98
Snowboard Kids 2;Atlus Software;Mar-99
South Park;Acclaim;Dec-98
South Park Rally;Acclaim;Feb-00
Space Invaders;Activision;Dec-99
Space Station: Silicon Valley;Take 2 Interactive;Oct-98
Spider-Man;Activision;Nov-00
Star Fox 64;Nintendo;Jun-97
Star Fox 64;Nintendo;Jun-97
Star Soldier: Vanishing Earth;Electro Brain;Dec-98
Star Wars Episode One: Battle for Naboo;Lucas Arts;Dec-00
Star Wars Episode One: Racer;Nintendo;May-99
Star Wars: Rogue Squadron;Nintendo;Dec-98
Star Wars: Shadows of the Empire;Nintendo;Dec-96
StarCraft;Nintendo;Jun-00
Starshot: Space Circus Fever;Ocean;Jun-99
Super Bowling;UFO;Feb-01
Super Mario 64;Nintendo;Sep-96
Super Smash Brothers;Nintendo;Apr-99
Supercross 2000;EA Sports;Dec-99
Superman ;Titus;May-99
Tetrisphere;Nintendo;Aug-97
The Legend of Zelda: Ocarina of Time;Nintendo;Nov-98
The Legend of Zelda: Majora's Mask;Nintendo;Oct-00
The New Tetris;Nintendo;Jul-99
The World Is Not Enough;Electronic Arts;Oct-00
Tom and Jerry: Fists of Furry;NewKidCo;Dec-00
Tonic Trouble;Ubi Soft;Sep-99
Tony Hawk's Pro Skater;Activision;Mar-00
Tony Hawk's Pro Skater 2;Activision;Aug-01
Tony Hawk's Pro Skater 3;Activision;Aug-02
Top Gear Hyper-Bike;Kemco;Mar-00
Top Gear Overdrive;Kemco;Nov-98
Top Gear Rally;Midway;Oct-97
Top Gear Rally 2;EA Sports;Dec-99
Tranformers Beast Wars: Transmetals;Bay Area Multimedia;Nov-00
Triple Play 2000;EA Sports;Mar-99
Turok 2: Seeds of Evil;Acclaim;Dec-98
Turok 3: Shadow of Oblivion;Acclain;Aug-00
Turok: Dinosaur Hunter;Acclaim;Feb-97
Turok: Rage Wars;Acclaim;Nov-99
Conker's Bad Fur Day;Nintendo ;Mar-01
Twisted Edge Snowboarding;Midway;Nov-98
Vigilante 8;Activision;Mar-99
Vigilante 8: Second Offensive;Activision;Feb-00
Virtual Chess 64;Titus;Jun-98
Virtual Pool 64;Crave Entertainment ;Nov-98
V-Rally Edition 99;Infogrames;Sep-99
Waialae Country Club: True Golf Classics;Nintendo;Jul-98
War Gods;Midway;May-97
Wave Race 64 Kawasaki Jet Ski;Nintendo;Nov-96
Wayne Gretzky's 3D Hockey;Midway;Nov-96
WCW Mayhem;Electronic Arts;Sep-99
WCW Backstage Assault;Electronic Arts;Dec-00
WCW vs NWO: World Tour;THQ;Nov-97
WCW vs NWO: Nitro;THQ;Feb-99
WCW/NWO Revenge;THQ;Oct-98
Wetrix;Ocean;Jun-98
Wheel of Fortune;Gametek;Dec-97
WinBack;Koei;Oct-99
Wipeout 64;Psygnosis;Nov-98
World Cup '98;EA Sports;May-98
World Driver Chamionship;Midway;Jun-99
Worms: Armageddon;Infogrames;Mar-00
WWF Wrestlemania 2000;THQ;Nov-99
WWF: War Zone;Acclaim;Aug-98
